type,item,meaning,example
,盤蛇,2.盤繞曲折貌。  ,  晉 常璩 《華陽國志‧南中志‧南廣郡》： “步道度三津， 亦艱阻， 故行人為語曰： ‘ 猶溪 赤水 ， 盤蛇七曲。 ’” 明 唐順之 《登常山山亭次壁間韻》： “棧度盤蛇際， 灘行磨蟻中。”
,盤跚,1.猶蹣跚。 跛行貌；不正貌。  ; 2.婆娑貌。  ,  漢 王延壽 《夢賦》： “鬼驚魅怖， 或盤跚而欲走， 或拘攣而不能步。” ;   唐 李賀 《瑤華樂》詩： “舞霞垂尾長盤跚， 江澄海淨神母顏。” 
,盤辟,3.跛行搖擺貌。  ,  清 趙翼 《哭緘齋侄》詩： “蹣跚見客憐盤辟， 飲啖兼人笑活羅。” 
,盤陀,1.石不平貌。 ; 3.曲折回旋貌。  ,  唐 寒山 《詩》之二六六： “盤陀石上坐， 谿澗冷淒淒。” ; 《水滸傳》第四七回： “好個 祝家莊 ， 盡是盤陀路。 容易入得來， 只是出不去。” 
,盤駁,1.高峻貌。 ,  清 袁枚 《續新齊諧‧陰陽山》： “匍匐而升， 危崖盤駁， 驚奇怪異， 氣色昏黯。” 
,盤鬱,1.曲折幽深貌。 ; 2.盤曲美盛貌。  ,  唐 司空圖 《澤州靈泉院記》： “其北川壑會流， 盤鬱濃粹， 自高平西顧， 以至 靈泉 ， 極矣。” ;   唐 段成式 《酉陽雜俎‧玉格》： “至此山， 宮殿盤鬱， 樓臺博敞。” 
,盩,3.山或水盤曲貌。 參見“ 盩厔 ”。,NA
,盱睢,1.張目仰視貌。 ,  清 龔自珍 《臣里》： “臣目盱睢， 臣不媚蠹魚。” 
,直眉瞪眼,1.發怒貌。 ,《紅樓夢》第六二回： “連 司棋 都氣了個直眉瞪眼。” 
,相面,1.觀察人的面貌。 ,  宋 蘇轍 《同孔常父作張夫人詩》： “相面識心腹， 開口言災祥。” 
,盻盻,1.勤苦不休息貌。 ; 2.恨視貌；怒視貌。  ,《孟子‧滕文公上》： “為民父母， 使民盻盻然， 將終歲勤動， 不得以養其父母。” ;   宋 文天祥 《指南錄‧＜上岸難＞詩序》： “當行路時， 盻盻回首， 惟恐有追騎之猝至。” 
,盼,1.眼睛黑白分明貌。  ,《詩‧衛風‧碩人》： “巧笑倩兮， 美目盼兮。”一本作“ 盻 ”。  
,盼盼,1.急切盼望貌。 ,  宋 文天祥 《議糾合兩淮復興》詩序： “予既遺書， 盼盼焉望報。” 
,眄眄,1.無知貌。 ; 2.斜視貌。  ,NA;   唐 鮑溶 《湘妃列女操》詩： “目眄眄兮意蹉跎， 魂騰騰兮驚秋波。” 
,眇忽,1.隱約不明貌；微茫貌。 ,  唐 獨孤及 《祭相里造文》： “話言存乎耳目， 惟音形眇忽， 無前期可望。” 
,眇然,1.高遠貌；遙遠貌。 ; 2.弱小貌；微小貌。  ,《漢書‧王褒傳》： “何必偃卬詘信若 彭祖 ， 呴噓呼吸如 僑 松 ， 眇然絕俗離世哉！” 顏師古 注： “眇然， 高遠之意也。” ;   宋 葉適 《故昭慶軍承宣使知大宗正事崇國趙公謚宣簡議》： “公遭時多故， 特眇然童子， 周旋四方， 而感勵問學， 居窮守獨之操， 甚於寒鄉窶士。” 
,眇綿,1.遠視貌。 ,  漢 揚雄 《法言‧先知》： “知其道者其如視， 忽眇綿作炳。” 
,眇莽,1.模糊不明貌。 ; 2.遼闊貌。  ,  漢 桓驎 《西王母傳》： “神玄奧於眇莽之中。” ;   宋 蘇轍 《張恕寺丞益齋》詩： “汪洋畜江河， 眇莽包林藪。”
,眉眼,1.眉與眼。 泛指容貌。 ,  唐 韓愈 《崔十六少府攝伊陽以詩及書見投因酬三十韻》： “嬌兒好眉眼， 褲腳凍兩骭。” 
,眉睫,1.眉毛和睫毛。 亦泛指人的形貌。 ,《莊子‧庚桑楚》： “向吾見若眉睫之間， 吾因以得汝矣。” 
,眊然,1.昏聵糊塗貌。 ; 2.眼迷糊貌。  ,  唐 皇甫湜 《吉州刺史廳壁記》： “召詰其官， 皆眊然如酲。” ;   明 唐順之 《答周約庵中丞書》： “即如讀書為文， 本是嗜好， 近或挾冊讀未數行， 輒眊然而睡矣。”
,眊眊,2.猶藐藐。 忽略貌。  ,《尚書大傳》卷三“禦聽於怵攸” 漢 鄭玄 注： “怵攸， 謂若老夫灌灌， 小子蹻蹻， 誨爾訰訰， 聽我眊眊之類。” 
,眒,1.疾速貌。  ,《史記‧司馬相如列傳》： “儵眒淒浰， 雷動熛至。” 
,眙,3.驚愕貌。  ,《新唐書‧蕭復傳》： “ 杞 對上， 或諂諛阿匼， 復 厲言： ‘ 杞 詞不正。 ’帝色眙， 謂左右曰： ‘ 復 慢我。 ’” 
,真,12.畫像；容貌。  ,  唐 范攄 《雲溪友議》卷上： “ 楚材 得妻真及詩範， 遽有 雋不疑 之讓， 夫婦隨偕老焉。” 
,眴,3.驚貌。  ,《莊子‧德充符》： “適見豚子食於其死母者， 少焉眴若， 皆棄之而走。” 
,眷然,1.回視貌。  ; 2.顧念貌；依戀貌。  ,  三國 魏 曹丕 《善哉行》之二： “眷然顧之， 使我心愁。” ; 《漢書‧王莽傳中》： “皇天眷然， 去 漢 與 新 。” 
,眼睜睜,1.張目注視貌。 ,  元 張養浩 《寨兒令‧壽日燕飲》曲： “眼睜睜， 險踏碎綽然亭。” 
,眾生相,2.指世間各種人的表現和面貌。  ,《人民文學》1977年第7期： “ 巴爾扎克 的《人間喜劇》， 也充分展示了十九世紀初葉 法國 新興資產階級的眾生相。”
,睆,1.渾圓貌。  ; 2.明亮貌。  ; 3.平整光滑貌。  ; 4.美好貌。  ; 5.眼睛突出貌。 參見“ 睆目 ”。  ,《詩‧小雅‧杕杜》： “有杕之杜， 有睆其實。” ; 《詩‧小雅‧大東》： “睆彼牽牛， 不以服箱。” ; 《禮記‧檀弓上》： “華而睆， 大夫之簀與！” 陳澔 集說： “睆者， 節目之平瑩。” ;   唐 劉禹錫 《汴州鄭門新亭記》： “簾鑪茵帟， 文椸睆榻， 儲以應猝， 周宜而宜。” ; NA
,睆目,1.眼睛突出貌。 ,  唐 東方虯 《蟾蜍賦》： “爾其文章， 睆目、銳頭、皤腹， 本無牙齒之用， 寧懼鷹鸇之逐。” 
,睆睆,1.視貌。 一說窮視貌。 又說眠目貌。 ; 2.渾圓貌。  ,《莊子‧天地》： “內支盈於柴柵， 外重纆繳， 睆睆然在纆繳之中， 而自以為得。” ;   唐 劉師服 侯喜 《石鼎聯句》： “睆睆無刃跡， 團團類天成。” 
,睌,1.目視貌。  ,NA
,睖,1.瞪眼直視貌。  ,  曹禺 等《膽劍篇》第一幕： “持刀武士正舉起刀來， 夫差 不覺地睖了武士長一眼。” 
,睜睜,2.痴呆懵懂貌。  ,《金瓶梅詞話》第四九回： “那 玳安 走的睜睜的只顧搧扇子。” 
,睟,2.潤澤貌。  ,《孟子‧盡心上》： “其生色也， 睟然見於面。” 
,睟容,1.溫和慈祥的容貌。 ,  南朝 齊 王融 《三月三日曲水詩》序： “睟容有穆， 賓儀式序。” 
,睢,3.張目貌。 參見“ 睢維 ”、“ 睢呿 ”。  ; 4.歡樂自得貌。  ,NA;   唐 劉禹錫 《竹枝詞》引： “歌者揚袂睢舞， 以曲多為賢。”參見“ 睢盱 ”。  
,睢盱,1.渾樸貌。 ; 2.睜眼仰視貌。  ; 3.亦作“ 睢于 ”。 喜悅貌。  ,  漢 王延壽 《魯靈光殿賦》： “鴻荒樸略， 厥狀睢盱。” ;   漢 張衡 《西京賦》： “迾卒清候， 武士赫怒， 緹衣韎韐， 睢盱拔扈。” ; 《易‧豫》“盱豫悔” 唐 孔穎達 疏： “盱， 謂睢盱。 睢盱者， 喜說之貌。” 
,睢睢盱盱,3.渾厚純樸貌。  ,  漢 揚雄 《劇秦美新》： “權輿天地未袪， 睢睢盱盱。” 
,睦睦,2.恭敬貌。 睦， 通“ 穆 ”。  ,《史記‧司馬相如列傳》： “般般之獸， 樂我君囿；白質黑章， 其儀可喜；旼旼睦睦， 君子之能。” 
,睩,1.目明貌。  ,《楚辭‧招魂》： “娥眉曼睩， 目騰光些。” 
,睪,3.通“ 皋 ”。 高貌。  ,  清 魏源 《武林紀游呈錢伊庵居士》詩之五： “一峰復一峰， 峰峰立而獨。 諸峰合成垣， 不分睪與蜀。” 
,睿姿,1.指皇帝的容姿形貌。 ,  宋 張師正 《括异志‧司馬待制》： “ 神文 以皇太子監國， 引見 資善堂 ， 仰視睿姿， 一如所夢。” 
,瞀,3.垂目下視貌。 參見“ 瞀瞀 ”。  ; 4.愚昧無知貌。  ,NA;   清 薛福成 《贈陳主事序》： “欲求禦變之道， 而不務知彼知己者， 瞀也。” 
,瞏,1.孤獨無依貌。  ,NA
,瞑然,2.閉目貌。  ,  清 蒲松齡 《聊齋志异‧丐僧》： “﹝丐僧﹞忽出南城， 臥道側， 如僵， 三日不動。 居民恐其餓死， 貽累近郭， 因集勸他徙， 欲飯， 飯之；欲錢， 錢之。 僧瞑然不應。” 
,瞝,2.目微合貌。,NA
,瞞,1.閉目貌。  ,《逸周書‧寶典》： “淺薄閒瞞， 其謀乃獲。”參見“ 瞞瞞 ”。  
,瞠,1.瞪眼直視貌。  ; 2.驚視貌。  ,《莊子‧田子方》： “夫子言道， 回 ( 顏回 )亦言道也， 及奔逸絕塵而 回 瞠若乎後者。” ;   魯迅 《集外集拾遺‧懷舊》： “‘啊， 吳嫗 不幾嚇殺耶？’ 李媼 又大驚叫， 眾目亦益瞠， 口亦益張。”參見“ 瞠然 ”。
,瞢,1.晦暗無光貌。  ,《周禮‧春官‧視祲》： “掌十煇之法， 以觀妖祥， 辨吉凶。 一曰祲；二曰象；三曰鑴；四曰監；五曰闇；六曰瞢。” 
,瞪眄,2.傲視貌。  ,《文選‧陸機＜豪士賦序＞》： “眾心日陊， 危機將發， 而方偃仰瞪眄， 謂足以夸世。” 
,瞭然,1.眼明貌。 ,  唐 張仲方 《贈毛仙翁》詩： “方口秀眉編貝齒， 瞭然炅炅雙瞳子。” 
,瞱,1.目轉動貌。  ,NA
,瞳,3.無知直視貌。  ,《莊子‧知北游》： “汝瞳焉如新生之犢， 而無求其故。” 
,瞵,1.視貌。  ,《文選‧潘岳〈射雉賦〉》： “奮勁骹以角槎， 瞵悍目以旁睞。” 
,瞿,1.驚貌；驚視貌。  ,《禮記‧雜記下》： “免喪之外， 行於道路， 見似目瞿， 聞名心瞿。” 
,瞿然,1.暢厲貌；驚視貌。 ; 2.驚駭貌。  ; 3.驚喜貌；驚悟貌。  ,《禮記‧檀弓上》： “童子曰： ‘華而睆， 大夫之簀與！’ 子春 曰： ‘止。 ’ 曾子 聞之， 瞿然曰： ‘呼！’” 晉 袁宏 《後漢紀‧明帝紀下》： “從事因 安 （ 袁安 ）致書於令， 安 曰： ‘公事邪？則有郵驛。 今因公曹， 是有私也。 ’辭不肯受， 從事瞿然而止。” ; 《禮記‧檀弓下》： “ 邾婁定公 之時， 有弒其父者， 有司以告。 公瞿然失席曰： ‘是寡人之罪也。 ’” 陸德明 釋文： “瞿， 本又作懼。” ; 《莊子‧徐無鬼》： “ 子綦 瞿然喜曰： ‘奚若？’” 陸德明 釋文引 司馬彪 曰： “喜貌。” 
,矊,3.含情而視貌。  ,NA
,矍,1.驚視貌。  ,  宋 蘇軾 《湖上夜歸》詩： “睡眼忽驚瞿， 繁燈鬧河塘。” 
,矍然,1.驚懼貌；驚視貌。 ; 2.急遽貌。  ,《晏子春秋‧諫上二五》： “ 景公 使圉人養所愛馬暴死， 公怒， 令人操刀解養馬者。 是時 晏子 侍前， 左右執刀而進， 晏子 止而問于公曰： ‘ 堯 舜 支解人， 從何軀始？’公矍然曰： ‘從寡人始。 ’遂不支解。” ;   五代 王定保 《唐摭言‧好知己惡及第》： “暨榜除之夕， 沆 巡廊自呼 隱 者三、四， 矍然頓氣而言曰： ‘ 鄭隱 ， 崔沆 不與了卻， 更有何人肯與之！’” 
,矗然,1.高聳貌；直立貌。 ,  北魏 酈道元 《水經注‧廬江水》： “又有孤石， 介立大湖中， 周迴一里， 竦立百丈， 矗然高峻， 特為瑰異。” 
,矗矗,1.高峻貌。 ; 2.重疊貌。  ,  南朝 宋 謝靈運 《上留田行》： “循聽一何矗矗。” ;   宋 梅堯臣 《依韻和孫都官河上寫望》詩： “魚腥矗矗橋邊市， 花暗深深竹裏窗。” 
,矞,2.通“ 獝 ”、“ 狘 ”。 鳥獸驚飛、疾走貌。  ,NA
,矞皇,1.休美貌。 語本 漢 揚雄 《太玄‧交》： “物登明堂， 矞矞皇皇。”,  司馬光 集注引 陸績 曰： “矞皇， 休美貌。” 
,矯然,1.堅勁貌。 ; 2.矯情飾行貌。  ,  漢 桓寬 《鹽鐵論‧褒賢》： “文學高行， 矯然若不可卷。” ;   晉 陶潛 《感士不遇賦》： “推誠心而獲顯， 不矯然而祈譽。”
,矯首,2.昂昂然自得貌。  ,  晉 葛洪 《抱樸子‧名實》： “至於駑蹇矯首於琱輦， 駥驥委牧乎林坰， 彼已尸祿， 邦國殄瘁。” 
,矻,1.高聳貌。  ,  唐 劉禹錫 《沓潮歌》： “轟如鞭石矻且搖， 亙空欲駕黿鼉橋。” 
,砉然,2.超脫流俗貌。  ; 4.分明貌。  ,  元 劉祁 《歸潛志》卷二： “﹝ 辛敬之 ﹞平生不為科舉計， 且未嘗至京師， 砉然中州一逸士也。” ;   章炳麟 《訄書‧徵七略》： “略者， 封畛之正名。  
,砑,5.光滑貌。  ,  宋 范成大 《桂海虞衡志‧志岩洞》： “ 曾公洞 舊名 冷水巖 ， 山根石門砑然。” 
,硌,1.大石貌。  ,《山海經‧西山經》： “又百二十里， 曰 上申之山 。 上無草木， 而多硌石。” 
,碞,1.山石高峻貌。  ; 3.參差不齊貌。 引申為僭越；超過本分。  ,《說文‧石部》： “碞， 磛碞也。” ; 《書‧召誥》： “王不敢後， 用顧畏于民碞。” 
,碣,1.獨立高聳貌。 引申為標識。  ,《漢書‧揚雄傳上》： “鴻濛沆茫， 碣以崇山。” 
,碧靄靄,1.澄澈貌。 ; 2.濃鬱蒼翠貌。  ,  清 吳嘉紀 《竹園》詩： “野霜叢森森， 水月碧靄靄。” ;   清 吳嘉紀 《十月六日羅母初度贈詩》之四： “ 箕山 碧靄靄， 潁水 流洋洋。”
,確乎,1.堅而高貌；堅剛貌。 ,《易‧乾》： “樂則行之， 憂則違之， 確乎其不可拔， 潛龍也。” 
,碻磝,1.多石不平貌。 ,  宋 黃簡 《犁春操為謝耕道作》： “水淫兮石齧， 田碻磝兮一跬九折。” 
,磅磄,1.亦作“ 磅唐 ”。 周圍廣大貌。 ,  戰國 楚 宋玉 《笛賦》： “其處磅磄千仞， 絕谿凌阜， 隆崛萬丈， 盤石雙起。” 
,磅礡,1.廣大無邊貌。 ; 2.氣勢盛大貌。  ,  晉 陸機 《輓歌》之二： “重阜何崔嵬， 玄廬竄其間。 磅礡立四極， 穹崇效蒼天。” ;   唐 沈佺期 《辛丑歲十月上幸長安時扈從出西岳作》詩： “磅礡壓洪源， 巍峨壯清昊。” 
,磈,2.高峻貌。  ,  唐 暢當 《蒲中道中》詩之一： “蒼蒼 中條山 ， 厥形極奇磈。” 
,磊,1.眾石委積貌。  ; 2.大貌。  ; 3.俊偉貌。  ; 4.竹木多節貌。  ,《楚辭‧九歌‧山鬼》： “采三秀兮於山間， 石磊磊兮葛蔓蔓。” ;   清 魏源 《武林紀游呈錢伊庵居士》詩之五： “眾磊而小礫， 小磝而大礐， 我不暇校量， 蟻方以為嶽。” ;   清 薛福成 《庸盦筆記‧史料一‧江忠烈公殉難廬州》： “ 新寧江忠烈公 生平忠孝大節， 出於天性， 猿臂長身， 目炯炯有神， 顧盼磊然。”參見“ 磊落 ”。  ;   唐 施肩吾 《壯士行》： “一斗之膽撐臟腑， 如磥之筋礙臂骨。” 
,磊塊,4.俊偉貌；奇特貌。  ,  明 王亹 《次柴桑乞食再和杜于皇》： “數公磊塊士， 肯吟《北門》詩？時運一以乖， 落落埋英才。”
,磊磊,1.眾多委積貌。 ; 2.圓轉貌。  ,《楚辭‧九歌‧山鬼》： “采三秀兮於山間， 石磊磊兮葛蔓蔓。” ;   南朝 梁 劉勰 《文心雕龍‧雜文》： “足使義明而詞淨， 事圓而音澤， 磊磊自轉， 可稱珠耳。” 
,磽磽,1.隆起突出貌；高峻貌。 ; 2.堅硬貌。  ,  唐 李賀 《唐兒歌》： “頭玉磽磽眉刷翠， 杜郎 生得真男子。” ;   宋 蘇軾 《鑿井遇盤石得泉》詩： “矻矻煩四夫， 磽磽斮層巒。”
,礧,1.大石貌。 參見“ 礧硌 ”。  ; 2.不平貌。 參見“ 礧磈 ”。  ,NA; NA
,礧砢,2.眾多委積貌。  ,  唐 陸龜蒙 《太湖石》詩： “他山豈無石， 厥狀皆可薦。 端然遇良工， 坐使天質變。 或裁基棟宇， 礧砢成廣殿。 或剖出溫瑜， 精光具華瑱。” 
,礧碨,1.大石貌。 ; 2.高低不平貌。  ,  漢 王延壽 《魯靈光殿賦》： “蔥翠紫蔚， 礧碨瑰瑋， 含光晷兮。” ;   清 姚鼐 《桃核研歌為庶子葉書山先生賦》： “黯澹凸坳水痕漬， 鎮几礧碨重不陂。”
,礧磈,2.高低不平貌。  ,  三國 魏 曹植 《承露盤銘》： “岧岧承露， 峻極太清。 神石礧磈， 洪基岳停。” 
,礨,2.同“ 礧 ”。 大石貌。 參見“ 礨石 ”。  ,NA
,礭,1.水激石險峻不平貌。 一說水激石聲。  ; 2.堅定貌。  ,  劉良 注： “石聲也。” ; 《隸續‧晉右軍將軍鄭烈碑》： “踐逸軌之遠跡， 秉礭然之大節。” 
,神儀,3.泛指狀貌。  ,  金 趙秉文 《謁北岳》詩： “四大神儀一， 群山 太茂 尊。”
,神容,2.指精神容貌。  ,  樓適夷 《一位嚴於律己的共產黨員》： “他不愛住院， 也不願朋友上醫院去探望。 他不想使自己日益枯槁的神容， 使朋友見了心裏難受。”
,神貌,1.外貌；容貌。 ,  唐 牛僧孺 《玄怪錄‧岑順》： “王神貌偉然， 雄姿罕儔。” 
,票,3.輕舉貌。 參見“ 票然 ”。  ,II
,祲,2.盛貌。  ,《宋史‧樂志十四》： “寶章奕奕， 祲宮俁俁。”參見“ 祲威 ”、“ 祲威盛容 ”、“ 祲容 ”。  
,禹,2.疏行貌；行緩貌。  ,  張舜徽 《說文解字約注‧禸部》“禹”： “禹之言於也， 謂其行舒於也。 宀部宇， 籀文作宇， 是於、禹聲通。 蟲行緩謂之禹， 猶語之舒為餘耳。” 
,禺禺,2.向慕擁戴貌。  ,  唐 李邕 《大相國寺碑》： “禺禺而戴， 欣欣而懷。”
,秋,10.飛翔貌。  ,《漢書‧禮樂志》： “飛龍秋， 游上天。” 
,稜稜,1.嚴寒貌。 ; 2.威嚴貌。  ,《文選‧鮑照＜蕪城賦＞》： “稜稜霜氣， 蔌蔌風威。” ;   南朝 宋 劉義慶 《世說新語‧容止》： “ 孫興公 見 林公 ， 稜稜露其爽。” 
,種,7.頭髮短少貌。 參見“ 種種 ”、“ 種髮 ”。  ,NA
,種種,2.頭髮短少貌。 形容老邁。  ; 3.淳厚樸實貌。  ,《左傳‧昭公三年》： “余髮如此種種， 余奚能為。” ; 《莊子‧胠篋》： “舍夫種種之民， 而悅夫役役之佞。” 
,穆然,1.靜思貌。 ; 2.和敬貌。  ,《漢書‧東方朔傳》： “於是 吳王 穆然， 俛而深惟， 仰而泣下交頤。” ; 《資治通鑒‧晉元帝永昌元年》： “宮省穆然， 必無虞也。” 
,穚,3.莠草繁盛貌。,NA
